danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.934,0.611,1,-8.688,1,0.133,0.339,6.57e-06,0.0853,0.782,126.012,audio_features,3gWIY6WqA34ZRy8QVjTq5v,spotify:track:3gWIY6WqA34ZRy8QVjTq5v,https://api.spotify.com/v1/tracks/3gWIY6WqA34ZRy8QVjTq5v,https://api.spotify.com/v1/audio-analysis/3gWIY6WqA34ZRy8QVjTq5v,236190,4
0.772,0.598,7,-10.857,0,0.0429,0.204,0.00345,0.513,0.717,114.419,audio_features,6GS6uE1vDmtzxO8GztAR2O,spotify:track:6GS6uE1vDmtzxO8GztAR2O,https://api.spotify.com/v1/tracks/6GS6uE1vDmtzxO8GztAR2O,https://api.spotify.com/v1/audio-analysis/6GS6uE1vDmtzxO8GztAR2O,282267,4
0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,114.942,audio_features,5pyoxDZ1PX0KxBxiRVxA4U,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/tracks/5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/audio-analysis/5pyoxDZ1PX0KxBxiRVxA4U,278282,4
0.824,0.617,11,-4.219,1,0.0555,0.0187,0.0173,0.0865,0.601,126.045,audio_features,4KvHJkVdQQrskjVfGoYedT,spotify:track:4KvHJkVdQQrskjVfGoYedT,https://api.spotify.com/v1/tracks/4KvHJkVdQQrskjVfGoYedT,https://api.spotify.com/v1/audio-analysis/4KvHJkVdQQrskjVfGoYedT,212693,4
0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449,audio_features,21pySLskKIKrhDziCX5ojQ,spotify:track:21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/tracks/21pySLskKIKrhDziCX5ojQ,https://api.spotify.com/v1/audio-analysis/21pySLskKIKrhDziCX5ojQ,245680,4
0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,audio_features,6KgBpzTuTRPebChN0VTyzV,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV,159736,4
0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,78qd8dvwea0Gosb6Fe6j3k,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
0.868,0.666,4,-8.532,0,0.0594,0.00452,0.00169,0.0895,0.434,105.021,audio_features,40fX0BlY8HRW9vtzFuKutC,spotify:track:40fX0BlY8HRW9vtzFuKutC,https://api.spotify.com/v1/tracks/40fX0BlY8HRW9vtzFuKutC,https://api.spotify.com/v1/audio-analysis/40fX0BlY8HRW9vtzFuKutC,322155,4
0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,audio_features,1mvZErZBp7WZT3HfGBykao,spotify:track:1mvZErZBp7WZT3HfGBykao,https://api.spotify.com/v1/tracks/1mvZErZBp7WZT3HfGBykao,https://api.spotify.com/v1/audio-analysis/1mvZErZBp7WZT3HfGBykao,209800,4
0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,audio_features,0rIAC4PXANcKmitJfoqmVm,spotify:track:0rIAC4PXANcKmitJfoqmVm,https://api.spotify.com/v1/tracks/0rIAC4PXANcKmitJfoqmVm,https://api.spotify.com/v1/audio-analysis/0rIAC4PXANcKmitJfoqmVm,193837,4
0.75,0.7,6,-5.92,0,0.0575,0.0476,1.86e-05,0.143,0.631,124.02,audio_features,5PwKsTGNI209uLR9X8lhpd,spotify:track:5PwKsTGNI209uLR9X8lhpd,https://api.spotify.com/v1/tracks/5PwKsTGNI209uLR9X8lhpd,https://api.spotify.com/v1/audio-analysis/5PwKsTGNI209uLR9X8lhpd,177097,4
0.737,0.602,11,-5.292,1,0.204,0.0393,2.74e-06,0.236,0.88,109.039,audio_features,1jFN0stMzLepoPxvPywGZj,spotify:track:1jFN0stMzLepoPxvPywGZj,https://api.spotify.com/v1/tracks/1jFN0stMzLepoPxvPywGZj,https://api.spotify.com/v1/audio-analysis/1jFN0stMzLepoPxvPywGZj,225973,4
0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,audio_features,2ENexcMEMsYk0rVJigVD3i,spotify:track:2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/tracks/2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/audio-analysis/2ENexcMEMsYk0rVJigVD3i,235493,4
0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,audio_features,3kMrazSvILsgcwtidZd1Qd,spotify:track:3kMrazSvILsgcwtidZd1Qd,https://api.spotify.com/v1/tracks/3kMrazSvILsgcwtidZd1Qd,https://api.spotify.com/v1/audio-analysis/3kMrazSvILsgcwtidZd1Qd,205733,4
0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,spotify:track:741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/tracks/741UUVE2kuITl0c6zuqqbO,https://api.spotify.com/v1/audio-analysis/741UUVE2kuITl0c6zuqqbO,109750,4
0.738,0.85,8,-3.049,1,0.0642,0.105,0.0,0.23,0.865,98.013,audio_features,4Lt6GXGzYsa1tgkv3nGSTm,spotify:track:4Lt6GXGzYsa1tgkv3nGSTm,https://api.spotify.com/v1/tracks/4Lt6GXGzYsa1tgkv3nGSTm,https://api.spotify.com/v1/audio-analysis/4Lt6GXGzYsa1tgkv3nGSTm,192921,4
0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987,audio_features,6T689Jvh5KrSXyaPtUWZtQ,spotify:track:6T689Jvh5KrSXyaPtUWZtQ,https://api.spotify.com/v1/tracks/6T689Jvh5KrSXyaPtUWZtQ,https://api.spotify.com/v1/audio-analysis/6T689Jvh5KrSXyaPtUWZtQ,225080,4
0.654,0.884,9,-5.466,1,0.202,0.151,0.000268,0.379,0.851,124.072,audio_features,7xjut3yY1qOBy5Fi1egX0i,spotify:track:7xjut3yY1qOBy5Fi1egX0i,https://api.spotify.com/v1/tracks/7xjut3yY1qOBy5Fi1egX0i,https://api.spotify.com/v1/audio-analysis/7xjut3yY1qOBy5Fi1egX0i,190973,4
0.735,0.466,6,-8.65,0,0.0857,0.239,6.24e-06,0.102,0.643,99.973,audio_features,0CPLnPUUHh44vAzDSM5ZlR,spotify:track:0CPLnPUUHh44vAzDSM5ZlR,https://api.spotify.com/v1/tracks/0CPLnPUUHh44vAzDSM5ZlR,https://api.spotify.com/v1/audio-analysis/0CPLnPUUHh44vAzDSM5ZlR,208600,4
0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,2fzykVsO2Di5jnofUNX3YE,spotify:track:2fzykVsO2Di5jnofUNX3YE,https://api.spotify.com/v1/tracks/2fzykVsO2Di5jnofUNX3YE,https://api.spotify.com/v1/audio-analysis/2fzykVsO2Di5jnofUNX3YE,225973,4
0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325,4
0.804,0.607,0,-7.171,1,0.0432,0.011,0.0694,0.16,0.384,126.001,audio_features,74APVIUFqFFM1ML6SE7xxL,spotify:track:74APVIUFqFFM1ML6SE7xxL,https://api.spotify.com/v1/tracks/74APVIUFqFFM1ML6SE7xxL,https://api.spotify.com/v1/audio-analysis/74APVIUFqFFM1ML6SE7xxL,155258,4
0.651,0.724,7,-5.457,1,0.166,0.172,0.0,0.13,0.686,144.146,audio_features,1TMWcbxL5YF8rKsFHv5hAP,spotify:track:1TMWcbxL5YF8rKsFHv5hAP,https://api.spotify.com/v1/tracks/1TMWcbxL5YF8rKsFHv5hAP,https://api.spotify.com/v1/audio-analysis/1TMWcbxL5YF8rKsFHv5hAP,187040,4
0.787,0.48,10,-12.477,0,0.45,0.0337,0.0,0.166,0.511,146.062,audio_features,191mtsBr5eC0SM31G7N2m4,spotify:track:191mtsBr5eC0SM31G7N2m4,https://api.spotify.com/v1/tracks/191mtsBr5eC0SM31G7N2m4,https://api.spotify.com/v1/audio-analysis/191mtsBr5eC0SM31G7N2m4,175890,4
0.666,0.812,6,-4.07,0,0.0647,0.0597,0.0,0.0603,0.868,145.059,audio_features,0hO71r8vbnrXSaXVrR9ptF,spotify:track:0hO71r8vbnrXSaXVrR9ptF,https://api.spotify.com/v1/tracks/0hO71r8vbnrXSaXVrR9ptF,https://api.spotify.com/v1/audio-analysis/0hO71r8vbnrXSaXVrR9ptF,211932,4
0.503,0.915,1,-2.488,0,0.136,0.128,0.0,0.227,0.763,179.002,audio_features,6WwzdsP1Y1bb4NYXpgn5CD,spotify:track:6WwzdsP1Y1bb4NYXpgn5CD,https://api.spotify.com/v1/tracks/6WwzdsP1Y1bb4NYXpgn5CD,https://api.spotify.com/v1/audio-analysis/6WwzdsP1Y1bb4NYXpgn5CD,159471,4
0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,audio_features,2IGMVunIBsBLtEQyoI1Mu7,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/tracks/2IGMVunIBsBLtEQyoI1Mu7,https://api.spotify.com/v1/audio-analysis/2IGMVunIBsBLtEQyoI1Mu7,231750,4
0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,audio_features,0iOu4s8w3pE9vbpb1SHXsL,spotify:track:0iOu4s8w3pE9vbpb1SHXsL,https://api.spotify.com/v1/tracks/0iOu4s8w3pE9vbpb1SHXsL,https://api.spotify.com/v1/audio-analysis/0iOu4s8w3pE9vbpb1SHXsL,274213,4
0.717,0.587,4,-7.296,0,0.0339,0.0192,0.0,0.0523,0.544,129.954,audio_features,2hdy9Wt9qp7M7d0U3ossu2,spotify:track:2hdy9Wt9qp7M7d0U3ossu2,https://api.spotify.com/v1/tracks/2hdy9Wt9qp7M7d0U3ossu2,https://api.spotify.com/v1/audio-analysis/2hdy9Wt9qp7M7d0U3ossu2,216520,4
