danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,3
0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
0.455,0.686,5,-7.037,0,0.0328,0.0436,0.000242,0.137,0.427,132.563,4
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,4
0.617,0.94,0,-4.587,1,0.0452,0.0654,1.78e-06,0.26,0.557,140.087,4
0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,4
0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,4
0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4
0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4
0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,4
0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,4
0.461,0.953,6,-3.639,0,0.0635,0.0482,0.0,0.0459,0.723,159.977,4
0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
0.518,0.796,1,-2.483,1,0.0348,0.0637,0.0,0.18,0.536,113.907,3
0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,4
0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,4
0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4
0.317,0.801,9,-6.652,1,0.0391,0.00694,0.0918,0.184,0.384,176.09,4
0.608,0.552,7,-10.963,1,0.0459,0.08,2.41e-05,0.318,0.47,101.999,4
0.645,0.792,1,-6.853,1,0.0397,0.00805,1.59e-05,0.182,0.483,124.004,4
0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,4
0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,4
0.406,0.698,8,-7.024,1,0.0624,0.186,0.0,0.233,0.333,109.266,3
0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,4
0.617,0.522,9,-13.506,0,0.0308,0.259,0.0144,0.12,0.765,144.018,3
0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
0.295,0.485,5,-8.28,0,0.0299,0.126,3.29e-05,0.068,0.213,156.086,4
0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
0.437,0.882,11,-5.374,0,0.048,9.82e-05,0.0387,0.366,0.721,154.995,4
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,4
0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,4
0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,3
0.442,0.867,3,-2.679,0,0.0354,0.0025,0.0,0.544,0.253,136.045,4
0.196,0.983,9,-3.425,1,0.146,0.00109,0.482,0.0843,0.225,179.323,4
0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4
0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,4
0.526,0.928,11,-3.386,1,0.0645,0.000131,0.0454,0.349,0.655,143.975,4
0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,4
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4
0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,4
0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,4
0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,4
0.447,0.668,4,-4.683,1,0.0294,0.0127,0.0,0.152,0.0695,82.904,4
0.601,0.439,1,-10.261,1,0.0304,0.581,0.0151,0.128,0.375,116.959,4
0.564,0.911,2,-5.39,1,0.0536,0.159,4.36e-05,0.118,0.582,173.938,4
0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,4
0.334,0.472,0,-8.791,1,0.0277,0.6,3.62e-06,0.317,0.431,179.173,3
0.602,0.542,8,-10.077,1,0.0322,0.000169,0.00557,0.058,0.259,114.979,4
0.481,0.774,1,-5.225,1,0.0339,0.00932,0.00761,0.301,0.427,131.159,4
0.548,0.843,6,-4.382,0,0.0549,0.00252,1.36e-05,0.2,0.658,104.757,4
0.5,0.185,7,-20.242,1,0.0535,0.728,0.000746,0.273,0.293,121.002,4
0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,4
0.693,0.353,0,-17.852,1,0.0414,0.0704,0.00113,0.503,0.75,104.143,4
0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,4
0.34,0.96,4,-6.128,1,0.0788,3.83e-05,0.00276,0.576,0.86,195.98,4
0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4
0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,4
0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
0.549,0.754,6,-4.011,0,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,4
0.666,0.788,2,-7.02,1,0.0276,0.0884,0.0628,0.298,0.675,111.257,4
0.398,0.5,4,-13.016,0,0.0383,0.000262,0.000968,0.167,0.378,119.978,4
0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4
0.494,0.842,7,-4.784,1,0.0843,0.00579,0.0,0.122,0.574,162.011,4
0.565,0.564,2,-10.044,1,0.0292,0.161,0.0,0.114,0.454,134.355,4
0.574,0.62,0,-9.878,1,0.0261,0.0466,0.912,0.278,0.562,110.016,4
0.349,0.917,0,-3.645,1,0.071,0.026,7.25e-06,0.0968,0.206,164.036,4
0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,4
0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,4
0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,4
0.568,0.586,7,-11.307,1,0.0465,1.6e-05,0.803,0.182,0.338,129.993,4
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,4
0.535,0.832,7,-7.45,1,0.0447,0.00555,0.0254,0.0868,0.197,127.937,4
0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,4
0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,4
0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,4
0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
0.423,0.714,11,-8.295,1,0.045,0.00113,6.28e-06,0.0855,0.593,110.017,4
0.472,0.578,2,-12.926,1,0.0481,0.0444,0.0,0.381,0.755,138.046,4
0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,4
0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,4
